OBJECTID,DATE_CAPTURED,SCIENTIFIC_NAME,CAPTURE_METHOD,TOTAL_LENGTH,HEAD_LENGTH,SEX,SNOUT_VENT_LENGTH,TAIL_COMPLETE,REGION,ZONE_CODE
4201,2021-09-02 0:00,C. porosus,Trap,286,40,F,134,Y,Darwin,7
4202,2021-09-01 0:00,C. porosus,Trap,197,30,M,93,Y,Darwin,1
3780,2021-08-31 0:00,C. porosus,Trap,400,55,M,194,Y,Darwin,4
3781,2021-08-31 0:00,C. porosus,Trap,271,38,M,128,Y,Darwin,6
4228,2021-08-31 0:00,C. porosus,Trap,348,47,M,166,Y,Darwin,7
4270,2021-08-30 0:00,C. porosus,Trap,361,50,M,175,Y,Darwin,4
3776,2021-08-29 0:00,C. porosus,Trap,310,40,M,143,Y,Darwin,4
3916,2021-08-27 0:00,C. porosus,Trap,241,34,M,114,Y,Darwin,4
3918,2021-08-27 0:00,C. porosus,Trap,234,35,M,109,Y,Darwin,6
3919,2021-08-27 0:00,C. porosus,Trap,178,25,M,86,Y,Darwin,6
3920,2021-08-27 0:00,C. porosus,Harpoon,197,27,M,94,Y,Darwin,6
3921,2021-08-27 0:00,C. porosus,Hand,36,,U,,Y,Darwin,6
4213,2021-08-27 0:00,C. porosus,Trap,230,34,M,110,Y,Darwin,4
4214,2021-08-27 0:00,C. porosus,Trap,214,33,F,103,Y,Darwin,4
4215,2021-08-27 0:00,C. porosus,Trap,214,32,M,120,Y,Darwin,6
3917,2021-08-26 0:00,C. porosus,Trap,310,44,M,133,Y,Darwin,1
3789,2021-08-25 0:00,C. porosus,Trap,189,28,M,86,Y,Darwin,7
3806,2021-08-23 0:00,C. porosus,Trap,370,50,M,180,Y,Darwin,4
3896,2021-08-22 0:00,C. porosus,Trap,272,40,M,130,Y,Darwin,1
3977,2021-08-20 0:00,C. porosus,Trap,251,37,M,128,N,Darwin,1
4137,2021-08-19 0:00,C. porosus,Trap,221,31,F,118,Y,Darwin,1
4135,2021-08-18 0:00,C. porosus,Trap,246,35,M,118,Y,Darwin,4
4138,2021-08-18 0:00,C. porosus,Trap,245,35,M,112,Y,Darwin,3
4139,2021-08-18 0:00,C. porosus,Trap,262,36,M,125,Y,Darwin,1
4140,2021-08-18 0:00,C. porosus,Trap,202,30,M,98,Y,Darwin,3
3959,2021-08-17 0:00,C. porosus,Trap,141,21,M,67,Y,Darwin,1
3960,2021-08-17 0:00,C. porosus,Trap,401,50,M,190,Y,Darwin,6
3961,2021-08-17 0:00,C. porosus,Trap,253,34,M,117,Y,Darwin,6
3962,2021-08-17 0:00,C. porosus,Trap,322,48,M,162,Y,Darwin,1
3958,2021-08-16 0:00,C. porosus,Trap,195,30,F,96,Y,Darwin,4
3963,2021-08-15 0:00,C. porosus,Destroyed,220,30,F,120,Y,Darwin,5
3833,2021-08-12 0:00,C. porosus,Trap,282,39,M,130,Y,Darwin,1
3834,2021-08-12 0:00,C. porosus,Trap,183,27,M,86,Y,Darwin,6
4076,2021-08-11 0:00,C. porosus,Trap,172,24,M,80,Y,Darwin,4
4052,2021-08-06 0:00,C. porosus,Trap,278,39,M,134,Y,Darwin,3
4053,2021-08-06 0:00,C. porosus,Trap,176,25,M,82,Y,Darwin,6
4259,2021-08-06 0:00,C. porosus,Trap,214,,M,,Y,Nhulunbuy,9
4028,2021-08-05 0:00,C. porosus,Trap,220,31,F,100,Y,Darwin,3
